"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Astralis","Jungle",9,"33%","33%",23,24,41,2.7,"76.2%","27.4%","18.6%","33%",21,18,1.2,5,"13.7%",302,"16.2%","18.4%",201,"19.0%",1,0.28,0.28,0.23
"Abbedagge","Excel Esports","Middle",9,"56%","11%",26,25,55,3.2,"66.9%","21.5%","24.8%","11%",-260,-181,-5.9,8.1,"24.9%",539,"24.6%","24.5%",256,"21.6%",0,0.44,0.21,0.22
"Adam","Team BDS","Top",8,"50%","63%",24,27,36,2.2,"67.4%","27.0%","27.3%","25%",-378,-403,-11.6,7.9,"24.1%",448,"23.2%","20.6%",263,"22.7%",0,0.45,0.21,0.16
"Advienne","KOI","Support",9,"44%","56%",4,16,61,4.1,"69.1%","4.3%","17.0%","11%",-28,159,-1.1,0.8,"1.8%",126,"6.3%","5.0%",89,"8.0%",0,1.43,0.42,0.25
"Agresivoo","Team BDS","Top",1,"0%","100%",4,4,1,1.3,"71.4%","57.1%","23.5%","0%",781,288,7,7.2,"19.7%",327,"23.4%","17.9%",253,"26.8%",0,0.34,0.12,0.31
"Bo","Team Vitality","Jungle",6,"17%","50%",9,29,24,1.1,"70.2%","19.1%","33.7%","33%",-245,-5,-2.7,5.8,"15.9%",344,"18.4%","19.5%",190,"17.6%",0,0.43,0.24,0.38
"BrokenBlade","G2 Esports","Top",9,"89%","44%",31,13,46,5.9,"56.6%","22.8%","15.7%","0%",-199,-307,-8.2,7.4,"21.7%",459,"20.5%","18.0%",260,"20.4%",0,0.49,0.16,0.15
"Caps","G2 Esports","Middle",9,"89%","56%",27,18,55,4.6,"60.3%","19.9%","21.7%","22%",339,431,10.2,8.7,"27.0%",513,"21.8%","20.8%",287,"22.6%",0,0.3,0.03,0.3
"Carzzy","MAD Lions","ADC",9,"44%","67%",39,26,39,3,"67.2%","33.6%","17.4%","22%",85,102,5.6,10.6,"37.1%",910,"37.3%","41.9%",343,"30.1%",2,0.32,0,0.35
"Chasy","MAD Lions","Top",9,"44%","44%",21,32,46,2.1,"57.8%","18.1%","21.5%","0%",-9,-59,5.3,7.2,"20.6%",467,"20.5%","16.7%",228,"20.5%",0,0.4,0.22,0.14
"Comp","KOI","ADC",9,"44%","22%",28,21,37,3.1,"69.1%","29.8%","22.3%","11%",-13,-132,-2.9,10.5,"36.7%",629,"30.7%","33.2%",323,"29.1%",0,0.42,0.13,0.33
"Crownie","Team BDS","ADC",9,"44%","56%",25,17,32,3.4,"59.4%","26.0%","14.7%","0%",-46,175,3.1,10.4,"37.4%",506,"27.6%","29.9%",333,"29.6%",0,0.43,0.1,0.47
"Daglas","Team Vitality","Jungle",3,"0%","33%",5,7,19,3.4,"82.8%","17.2%","16.3%","33%",219,159,7.7,5.2,"13.2%",414,"16.6%","17.9%",205,"18.6%",1,0.28,0.25,0.25
"Doss","SK Gaming","Support",9,"44%","22%",2,21,101,4.9,"83.1%","1.6%","16.9%","33%",-51,140,-1.2,0.7,"1.9%",94,"4.2%","3.2%",96,"8.4%",0,1.44,0.32,0.25
"Elyoya","MAD Lions","Jungle",9,"44%","44%",32,26,46,3,"67.2%","27.6%","17.4%","11%",-216,-115,3.2,5.5,"15.5%",328,"13.6%","14.4%",219,"19.0%",0,0.41,0.33,0.37
"Evi","Team Heretics","Top",9,"56%","44%",7,34,55,1.8,"48.4%","5.5%","29.6%","33%",-353,-171,-7.1,6.6,"19.0%",361,"15.5%","11.2%",197,"17.2%",0,0.46,0.17,0.16
"Exakick","SK Gaming","ADC",9,"44%","78%",41,28,48,3.2,"71.8%","33.1%","22.6%","11%",-214,-95,-5.2,9.8,"36.7%",675,"31.1%","34.6%",331,"29.4%",0,0.47,0.17,0.37
"Finn","Astralis","Top",9,"33%","56%",15,22,40,2.5,"65.5%","17.9%","17.1%","33%",163,313,1.1,8,"24.8%",528,"27.5%","25.4%",239,"22.6%",0,0.46,0.18,0.13
