Player,Player original name,Event,Team,Position,Games Played,Win percentage,KDA,KP,DTH%,GD@10,XPD@10,CSPM,DPM,DMG%,GOLD%,WPM,WCPM,Year
113,Doğukan Balcı,LEC 2023 Summer Season,Astralis,Jungle,9,33%,2.7,76.2%,18.6%,21,18,5.0,302,16.2%,19.0%,0.28,0.23,2023
113,Doğukan Balcı,LEC 2023 Spring Groups,Astralis,Jungle,7,29%,1.6,82.7%,25.9%,-463,-317,3.9,337,15.1%,14.3%,0.24,0.21,2023
113,Doğukan Balcı,LEC 2023 Spring Season,Astralis,Jungle,9,67%,4.0,75.6%,20.8%,-245,-318,4.4,339,16.2%,17.4%,0.50,0.28,2023
113,Doğukan Balcı,LEC 2023 Winter Groups,Astralis,Jungle,8,38%,2.5,67.6%,24.8%,-179,-142,4.4,280,13.0%,15.8%,0.22,0.45,2023
113,Doğukan Balcı,LEC 2023 Winter Season,Astralis,Jungle,9,33%,2.5,72.2%,20.1%,-111,-161,4.8,263,13.1%,17.1%,0.27,0.32,2023
113,Doğukan Balcı,Coupe de France 2022,Karmine Corp,Jungle,10,70%,3.6,66.9%,29.2%,84,-77,5.1,528,18.4%,18.1%,0.45,0.31,2022
113,Doğukan Balcı,LFL 2022 Summer Playoffs,Karmine Corp,Jungle,4,25%,1.6,63.6%,31.0%,-248,-317,5.0,286,13.0%,15.0%,0.25,0.52,2022
113,Doğukan Balcı,LFL 2022 Summer,Karmine Corp,Jungle,18,50%,1.9,66.1%,30.5%,58,92,4.7,288,12.3%,14.6%,0.32,0.30,2022
113,Doğukan Balcı,EM 2022 Spring Main Event,Karmine Corp,Jungle,20,75%,4.1,72.4%,28.2%,257,22,4.9,296,13.0%,15.7%,0.34,0.37,2022
113,Doğukan Balcı,EM 2022 Spring Play-In,Karmine Corp,Jungle,8,100%,5.7,67.9%,25.3%,4,-336,4.8,374,15.3%,16.3%,0.42,0.23,2022
113,Doğukan Balcı,LFL 2022 Spring Playoffs,Karmine Corp,Jungle,7,14%,1.4,73.2%,30.1%,-165,-46,4.5,265,13.5%,14.6%,0.33,0.25,2022
113,Doğukan Balcı,LFL 2022 Spring,Karmine Corp,Jungle,18,67%,3.5,63.6%,26.2%,136,79,6.3,297,14.5%,16.6%,0.39,0.27,2022
