Player,Player original name,Event,Team,Position,Games Played,Win percentage,KDA,KP,DTH%,GD@10,XPD@10,CSPM,DPM,DMG%,GOLD%,WPM,WCPM,Year
113,Doğukan Balcı,LEC 2023 Summer Season,Astralis,Jungle,9.0,33.0,2.7,76.2,18.6,21.0,18.0,5.0,302.0,16.2,19.0,0.28,0.23,2023
113,Doğukan Balcı,LEC 2023 Spring Groups,Astralis,Jungle,7.0,29.0,1.6,82.7,25.9,-463.0,-317.0,3.9,337.0,15.1,14.3,0.24,0.21,2023
113,Doğukan Balcı,LEC 2023 Spring Season,Astralis,Jungle,9.0,67.0,4.0,75.6,20.8,-245.0,-318.0,4.4,339.0,16.2,17.4,0.5,0.28,2023
113,Doğukan Balcı,LEC 2023 Winter Groups,Astralis,Jungle,8.0,38.0,2.5,67.6,24.8,-179.0,-142.0,4.4,280.0,13.0,15.8,0.22,0.45,2023
113,Doğukan Balcı,LEC 2023 Winter Season,Astralis,Jungle,9.0,33.0,2.5,72.2,20.1,-111.0,-161.0,4.8,263.0,13.1,17.1,0.27,0.32,2023
113,Doğukan Balcı,Coupe de France 2022,Karmine Corp,Jungle,10.0,70.0,3.6,66.9,29.2,84.0,-77.0,5.1,528.0,18.4,18.1,0.45,0.31,2022
113,Doğukan Balcı,LFL 2022 Summer Playoffs,Karmine Corp,Jungle,4.0,25.0,1.6,63.6,31.0,-248.0,-317.0,5.0,286.0,13.0,15.0,0.25,0.52,2022
113,Doğukan Balcı,LFL 2022 Summer,Karmine Corp,Jungle,18.0,50.0,1.9,66.1,30.5,58.0,92.0,4.7,288.0,12.3,14.6,0.32,0.3,2022
113,Doğukan Balcı,EM 2022 Spring Main Event,Karmine Corp,Jungle,20.0,75.0,4.1,72.4,28.2,257.0,22.0,4.9,296.0,13.0,15.7,0.34,0.37,2022
113,Doğukan Balcı,EM 2022 Spring Play-In,Karmine Corp,Jungle,8.0,100.0,5.7,67.9,25.3,4.0,-336.0,4.8,374.0,15.3,16.3,0.42,0.23,2022
113,Doğukan Balcı,LFL 2022 Spring Playoffs,Karmine Corp,Jungle,7.0,14.0,1.4,73.2,30.1,-165.0,-46.0,4.5,265.0,13.5,14.6,0.33,0.25,2022
