Name,Date,Position,Tier,Tournament,Year,relative_pos,relative_tier
113,2023-07-03,9th,S-Tier,LEC Summer 2023,2023,15.0,1
113,2023-04-16,5th,S-Tier,LEC Spring 2023,2023,8.0,1
113,2023-02-19,6th,S-Tier,LEC Winter 2023,2023,11.0,1
113,2022-11-05,3rd - 4th,B-Tier,Coupe de France 2022,2022,6.0,3
113,2022-08-04,6th,B-Tier,LFL Summer 2022,2022,11.0,3
113,2022-05-07,1st,A-Tier,European Masters Spring 2022,2022,1.0,2
113,2022-03-30,3rd,B-Tier,LFL Spring 2022,2022,5.0,3
113,2021-11-14,1st,C-Tier,Iberian Cup 2021,2021,1.0,4
113,2021-09-12,5th - 8th,A-Tier,European Masters Summer 2021,2021,10.0,2
113,2021-08-12,1st,B-Tier,SuperLiga Season 21,2021,1.0,3
113,2021-03-26,3rd - 4th,B-Tier,Turkey Academy League Winter 2021,2021,6.0,3
113,2020-04-18,3rd - 4th,B-Tier,Turkey Academy League Winter 2020,2020,6.0,3
Elyoya,2023-07-22,7th,S-Tier,LEC Summer 2023,2023,12.0,1
Elyoya,2023-05-13,7th - 8th,S-Tier,Mid-Season Invitational 2023,2023,13.0,1
Elyoya,2023-04-23,1st,S-Tier,LEC Spring 2023,2023,1.0,1
Elyoya,2023-02-26,2nd,S-Tier,LEC Winter 2023,2023,4.0,1
Elyoya,2022-10-04,17th - 18th,S-Tier,2022 World Championship,2022,21.0,1
Elyoya,2022-09-04,4th,S-Tier,LEC Summer 2022,2022,7.0,1
Elyoya,2022-03-06,7th,S-Tier,LEC Spring 2022,2022,12.0,1
Elyoya,2021-10-24,5th - 8th,S-Tier,2021 World Championship,2021,10.0,1
Elyoya,2021-08-29,1st,S-Tier,LEC Summer 2021,2021,1.0,1
Elyoya,2021-05-22,3rd - 4th,S-Tier,Mid-Season Invitational 2021,2021,6.0,1
Elyoya,2021-04-11,1st,S-Tier,LEC Spring 2021,2021,1.0,1
Elyoya,2020-11-08,5th - 8th,C-Tier,Iberian Cup 2020,2020,10.0,4
Elyoya,2020-09-13,9th - 12th,A-Tier,European Masters Summer 2020,2020,17.0,2
Elyoya,2020-09-04,1st,B-Tier,SuperLiga Orange Season 19,2020,1.0,3
Elyoya,2020-05-09,3rd - 4th,A-Tier,European Masters Spring 2020,2020,6.0,2
Elyoya,2020-04-02,2nd,B-Tier,SuperLiga Orange Season 18,2020,4.0,3
Elyoya,2019-11-14,9th - 12th,C-Tier,Iberian Cup 2019,2019,17.0,4
Caps,2023-07-30,1st,S-Tier,LEC Summer 2023,2023,1.0,1
Caps,2023-05-16,5th - 6th,S-Tier,Mid-Season Invitational 2023,2023,9.0,1
Caps,2023-04-21,4th,S-Tier,LEC Spring 2023,2023,7.0,1
Caps,2023-02-26,1st,S-Tier,LEC Winter 2023,2023,1.0,1
Caps,2022-10-14,11th - 14th,S-Tier,2022 World Championship,2022,19.0,1
Caps,2022-09-11,2nd,S-Tier,LEC Summer 2022,2022,4.0,1
Caps,2022-05-28,3rd - 4th,S-Tier,Mid-Season Invitational 2022,2022,6.0,1
Caps,2022-04-10,1st,S-Tier,LEC Spring 2022,2022,1.0,1
Caps,2021-08-22,4th,S-Tier,LEC Summer 2021,2021,7.0,1
Caps,2021-04-10,3rd,S-Tier,LEC Spring 2021,2021,5.0,1
Caps,2020-10-24,3rd - 4th,S-Tier,2020 World Championship,2020,6.0,1
Caps,2020-09-06,1st,S-Tier,LEC Summer 2020,2020,1.0,1
Caps,2020-04-19,1st,S-Tier,LEC Spring 2020,2020,1.0,1
Caps,2019-11-10,2nd,S-Tier,2019 World Championship,2019,4.0,1
Caps,2019-09-08,1st,S-Tier,LEC Summer 2019,2019,1.0,1
Caps,2019-05-19,1st,S-Tier,Mid-Season Invitational 2019,2019,1.0,1
Caps,2019-04-14,1st,S-Tier,LEC Spring 2019,2019,1.0,1
Caps,2018-11-03,2nd,S-Tier,2018 World Championship,2018,4.0,1
Caps,2018-09-09,1st,S-Tier,EU LCS Summer 2018,2018,1.0,1
Caps,2018-05-18,3rd - 4th,S-Tier,Mid-Season Invitational 2018,2018,6.0,1
Caps,2018-04-08,1st,S-Tier,EU LCS Spring 2018,2018,1.0,1
Caps,2017-10-21,5th - 8th,S-Tier,2017 World Championship,2017,10.0,1
Caps,2017-09-10,1st,A-Tier,EU LCS Regional Finals 2017,2017,1.0,2
Caps,2017-09-02,3rd,S-Tier,EU LCS Summer 2017,2017,5.0,1
Caps,2017-04-22,3rd,S-Tier,EU LCS Spring 2017,2017,5.0,1
Caps,2016-07-19,5th - 6th,A-Tier,EU CS Summer 2016,2016,9.0,2
Caps,2016-02-28,3rd,B-Tier,Lyon e-Sport 9,2016,5.0,3
Caps,2015-11-15,5th - 8th,A-Tier,PGL Legends of The Rift Season 1,2015,10.0,2
Razork,2023-07-29,3rd,S-Tier,LEC Summer 2023,2023,5.0,1
Razork,2023-04-15,8th,S-Tier,LEC Spring 2023,2023,14.0,1
Razork,2023-02-06,9th,S-Tier,LEC Winter 2023,2023,15.0,1
Razork,2022-10-13,9th - 10th,S-Tier,2022 World Championship,2022,16.0,1
Razork,2022-09-10,3rd,S-Tier,LEC Summer 2022,2022,5.0,1
Razork,2022-04-09,3rd,S-Tier,LEC Spring 2022,2022,5.0,1
Razork,2021-08-20,5th,S-Tier,LEC Summer 2021,2021,8.0,1
Razork,2021-03-14,7th,S-Tier,LEC Spring 2021,2021,12.0,1
Razork,2020-08-09,8th,S-Tier,LEC Summer 2020,2020,14.0,1
Razork,2020-04-05,6th,S-Tier,LEC Spring 2020,2020,11.0,1
Razork,2019-12-01,2nd,C-Tier,Iberian Cup 2019,2019,4.0,4
Razork,2019-09-29,2nd,A-Tier,European Masters Summer 2019,2019,4.0,2
Razork,2019-09-01,1st,B-Tier,LVP SuperLiga Orange Season 17,2019,1.0,3
Razork,2019-03-31,5th - 6th,B-Tier,LVP SuperLiga Orange Season 16,2019,9.0,3
Razork,2018-12-02,2nd,C-Tier,Iberian Cup 2018,2018,4.0,4
Razork,2018-09-13,17th - 18th,A-Tier,European Masters Summer 2018,2018,21.0,2
Razork,2018-09-02,2nd,B-Tier,LVP SuperLiga Orange Season 15,2018,4.0,3
Razork,2018-03-20,3rd - 4th,B-Tier,LVP SuperLiga Orange Season 14,2018,6.0,3
Razork,2017-11-28,7th,B-Tier,LVP SuperLiga Orange Season 13,2017,12.0,3
Razork,2017-11-12,1st,Qualifier,Clasificatorio Challenger Series Season 13,2017,1.0,5
Razork,2017-10-29,2nd,B-Tier,ESL Masters Madrid 2017,2017,4.0,3
Yike,2023-07-30,1st,S-Tier,LEC Summer 2023,2023,1.0,1
Yike,2023-05-16,5th - 6th,S-Tier,Mid-Season Invitational 2023,2023,9.0,1
Yike,2023-04-21,4th,S-Tier,LEC Spring 2023,2023,7.0,1
Yike,2023-02-26,1st,S-Tier,LEC Winter 2023,2023,1.0,1
Yike,2022-11-11,2nd,B-Tier,Coupe de France 2022,2022,4.0,3
Yike,2022-09-22,3rd - 4th,A-Tier,European Masters Summer 2022,2022,6.0,2
