Champion,Nb games,KDA,Player,Event,Win Rate(%),matched_event
Viego,3,3.6,113,LEC Summer 2023,33.3,LEC 2023 Summer Season
Vi,2,4.8,113,LEC Summer 2023,50.0,LEC 2023 Summer Season
Wukong,1,0.9,113,LEC Summer 2023,0.0,LEC 2023 Summer Season
Jarvan IV,1,1.6,113,LEC Summer 2023,0.0,LEC 2023 Summer Season
Sejuani,1,2.32,113,LEC Summer 2023,100.0,LEC 2023 Summer Season
Maokai,1,0.7,113,LEC Summer 2023,0.0,LEC 2023 Summer Season
Maokai,4,1.4,113,LEC Spring Groups 2023,0.0,LEC 2023 Spring Groups
Sejuani,2,4.3,113,LEC Spring Groups 2023,100.0,LEC 2023 Spring Groups
Xin Zhao,1,0.4,113,LEC Spring Groups 2023,0.0,LEC 2023 Spring Groups
Lee Sin,2,1.9,113,LEC Spring Season 2023,0.0,LEC 2023 Spring Season
Viego,2,8.7,113,LEC Spring Season 2023,100.0,LEC 2023 Spring Season
Maokai,2,4.9,113,LEC Spring Season 2023,100.0,LEC 2023 Spring Season
Elise,1,4.2,113,LEC Spring Season 2023,100.0,LEC 2023 Spring Season
Sejuani,1,4.0,113,LEC Spring Season 2023,100.0,LEC 2023 Spring Season
Vi,1,1.5,113,LEC Spring Season 2023,0.0,LEC 2023 Spring Season
Vi,3,1.3,113,LEC Winter Groups 2023,0.0,LEC 2023 Winter Groups
Sejuani,2,3.6,113,LEC Winter Groups 2023,50.0,LEC 2023 Winter Groups
Jarvan IV,1,7.3,113,LEC Winter Groups 2023,100.0,LEC 2023 Winter Groups
Maokai,1,6.0,113,LEC Winter Groups 2023,100.0,LEC 2023 Winter Groups
Trundle,1,0.6,113,LEC Winter Groups 2023,0.0,LEC 2023 Winter Groups
Viego,3,2.4,113,LEC Winter 2023,0.0,LEC 2023 Winter Groups
Sejuani,3,1.1,113,LEC Winter 2023,33.3,LEC 2023 Winter Groups
Trundle,2,10.3,113,LEC Winter 2023,100.0,LEC 2023 Winter Groups
Jarvan IV,1,1.0,113,LEC Winter 2023,0.0,LEC 2023 Winter Groups
