Player,Event,AheadCS@15%,CSD@15,GD@15,XPD@15,FB_Participation%,FB_Victim%,DPM,DMG%,KA_PM,SoloKills,Pentakills,VSPM,WPM,VWPM,WCPM,matched_event,Position
113,ALL,22.0,-5.4,-155.0,-467.0,33.0,0.0,302.1,16.0,0.24,1,0.0,1.15,0.28,0.28,0.23,,Jungle
113,LEC Summer 2023,22.0,-5.4,-155.0,-467.0,33.0,0.0,302.1,16.0,0.24,1,0.0,1.15,0.28,0.28,0.23,LEC 2023 Summer Season,Jungle
113,LEC Spring Groups 2023,0.0,-23.0,-1010.0,-953.0,43.0,43.0,336.9,15.0,0.3,0,0.0,1.11,0.24,0.23,0.21,LEC 2023 Spring Groups,Jungle
113,LEC Spring Season 2023,11.0,-16.4,-139.0,-495.0,44.0,11.0,339.0,16.0,0.37,0,0.0,1.64,0.5,0.35,0.28,LEC 2023 Spring Season,Jungle
113,LEC Winter Groups 2023,25.0,-8.9,-248.0,-151.0,13.0,25.0,280.4,13.0,0.3,1,0.0,1.6,0.22,0.24,0.45,LEC 2023 Winter Groups,Jungle
113,LEC Winter 2023,22.0,-11.4,-176.0,-429.0,67.0,11.0,263.2,13.0,0.25,2,0.0,1.33,0.27,0.28,0.32,LEC 2023 Winter Groups,Jungle
113,LFL Summer Playoffs 2022,25.0,-11.8,-799.0,-794.0,0.0,25.0,285.6,13.0,0.21,0,0.0,1.69,0.25,0.25,0.52,LFL 2022 Summer Playoffs,Jungle
113,LFL Summer 2022,33.0,-7.3,-116.0,-172.0,22.0,17.0,288.0,12.0,0.26,2,0.0,1.21,0.32,0.29,0.3,LFL 2022 Summer,Jungle
113,EM Spring 2022,25.0,-9.5,227.0,-282.0,60.0,5.0,296.3,13.0,0.44,3,0.0,1.33,0.34,0.3,0.37,EM 2022 Spring Main Event,Jungle
113,EM Spring Play-In 2022,13.0,-13.8,-152.0,-806.0,50.0,13.0,373.8,15.0,0.48,3,0.0,1.16,0.42,0.26,0.23,EM 2022 Spring Play-In,Jungle
113,LFL Spring Playoffs 2022,57.0,0.3,-291.0,-138.0,29.0,14.0,264.9,14.0,0.21,0,0.0,1.17,0.33,0.3,0.25,LFL 2022 Spring Playoffs,Jungle
113,LFL Spring 2022,39.0,-3.0,48.0,-272.0,44.0,17.0,296.6,15.0,0.3,1,0.0,1.25,0.39,0.28,0.27,LFL 2022 Spring,Jungle
113,EM Summer 2021,30.0,-4.9,-705.0,-414.0,40.0,0.0,429.8,20.0,0.31,1,0.0,1.24,0.37,0.36,0.26,EM 2021 Summer Main Event,Jungle
113,LVP Summer Playoffs 2021,46.0,-5.9,287.0,-132.0,62.0,8.0,429.1,21.0,0.38,2,0.0,1.15,0.36,0.29,0.25,LVP SL 2021 Summer Playoffs,Jungle
