Player,Teams trajectory,Dates,start_date,end_date
113,SUP Academy,"('Jan 2020', 'May 2021')",2020-01-01,2021-05-01
113,Vodafone Giants,"('May 2021', 'Nov 2021')",2021-05-01,2021-11-01
113,Karmine Corp,"('Nov 2021', 'Nov 2022')",2021-11-01,2022-11-01
113,Astralis,"('Dec 2022', 'present')",2022-12-01,2023-07-21
Elyoya,iNAT Gaming,"('Dec 2018', '≈Mar 2019')",2018-12-01,2019-03-01
Elyoya,GGaming,"('Mar 2019', '≈Jun 2019')",2019-03-01,2019-06-01
Elyoya,Movistar Academy,"('Jul 2019', 'Oct 2019')",2019-07-01,2019-10-01
Elyoya,Movistar Riders,"('Oct 2019', 'Nov 2020')",2019-10-01,2020-11-01
Elyoya,MAD Lions,"('Nov 2020', 'present')",2020-11-01,2023-07-21
Caps,Enigma Esports,"('≈Jan 2015', '≈Dec 2015')",2015-01-01,2015-12-01
Caps,Inspire eSports,"('Jan 2016', 'Jun 2016')",2016-01-01,2016-06-01
Caps,E-corp Gaming,"('Feb 2016', 'Mar 2016')",2016-02-01,2016-03-01
Caps,mousesports,"('≈Apr 2016', '≈May 2016')",2016-04-01,2016-05-01
Caps,Nerv,"('Jun 2016', 'Jul 2016')",2016-06-01,2016-07-01
Caps,Dark Passage,"('Jul 2016', 'Oct 2016')",2016-07-01,2016-10-01
Caps,Fnatic,"('Dec 2016', 'Nov 2018')",2016-12-01,2018-11-01
Caps,G2 Esports,"('Nov 2018', 'Jan 2020')",2018-11-01,2020-01-01
Caps,G2 Esports,"('Jan 2020', 'May 2020')",2020-01-01,2020-05-01
Caps,G2 Esports,"('May 2020', 'present')",2020-05-01,2023-07-21
Razork,Dimegio Club,"('Aug 2016', 'Oct 2016')",2016-08-01,2016-10-01
Razork,Team Heretics,"('Jan 2017', 'Jun 2017')",2017-01-01,2017-06-01
Razork,eMonkeyz Storm,"('Jul 2017', 'Jul 2017')",2017-07-01,2017-07-01
Razork,The G-Lab Penguins,"('Aug 2017', 'Jan 2018')",2017-08-01,2018-01-01
Razork,Penguins,"('Jan 2018', 'Jan 2018')",2018-01-01,2018-01-01
Razork,Giants Gaming Spain,"('Jan 2018', 'Apr 2018')",2018-01-01,2018-04-01
Razork,Vodafone Giants,"('Apr 2018', 'Dec 2019')",2018-04-01,2019-12-01
Razork,Giants Gaming,"('Jun 2018', 'Nov 2018')",2018-06-01,2018-11-01
Razork,Misfits Gaming,"('Dec 2019', 'Nov 2021')",2019-12-01,2021-11-01
Razork,Fnatic,"('Dec 2021', 'present')",2021-12-01,2023-07-21
Yike,Vortex Five,"('Apr 2019', '≈Jul 2019')",2019-04-01,2019-07-01
